2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 22:28:29.365  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 22:28:29.365  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 22:28:29.365  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 22:28:29.365  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 22:28:29.367  INFO HelloWorldImpl:135 - 内存文档数3
2012-12-27 22:28:44.237  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 22:37:34.566  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 22:37:34.586  INFO HelloWorldImpl:60 - start init!!
2012-12-27 22:37:48.802  INFO HelloWorldImpl:112 - test!
2012-12-27 22:37:48.806  INFO HelloWorldImpl:126 - create index :field:id  value:510
2012-12-27 22:38:28.465  INFO HelloWorldImpl:112 - test!
2012-12-27 22:38:28.466  INFO HelloWorldImpl:126 - create index :field:id  value:510
2012-12-27 22:38:28.471  INFO HelloWorldImpl:126 - create index :field:collegeId  value:12
2012-12-27 22:38:28.471  INFO HelloWorldImpl:126 - create index :field:sex  value:0
2012-12-27 22:38:28.471  INFO HelloWorldImpl:126 - create index :field:name  value:屠洪纲
2012-12-27 22:38:28.471  INFO HelloWorldImpl:126 - create index :field:year  value:2012
2012-12-27 22:38:28.498  INFO HelloWorldImpl:136 - 内存文档数1
2012-12-27 22:43:52.179  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 22:43:52.199  INFO HelloWorldImpl:60 - start init!!
2012-12-27 22:44:03.338  INFO HelloWorldImpl:112 - test!
2012-12-27 22:44:03.341  INFO HelloWorldImpl:127 - create index :field:id  value:510
2012-12-27 22:44:03.346  INFO HelloWorldImpl:127 - create index :field:collegeId  value:12
2012-12-27 22:44:03.346  INFO HelloWorldImpl:127 - create index :field:sex  value:0
2012-12-27 22:44:03.346  INFO HelloWorldImpl:127 - create index :field:name  value:屠洪纲
2012-12-27 22:44:03.347  INFO HelloWorldImpl:127 - create index :field:year  value:2012
